Month,test,real
2003/1/1,5.294269653,5.294269653
2003/2/1,8.509196949,8.509196949
2003/3/1,7.921763692,7.921763692
2003/4/1,,5.346834922
2003/5/1,-7.218921612,-7.218921612
2003/6/1,-10.06615289,-10.06615289
2003/7/1,-8.247061915,-8.247061915
2003/8/1,,-8.226262438
2003/9/1,,-6.641356745
2003/10/1,-1.389815725,-1.389815725
2003/11/1,2.311888816,2.311888816
2003/12/1,5.359410531,5.359410531
2004/1/1,6.738749326,6.738749326
2004/2/1,10.42264457,10.42264457
2004/3/1,,6.667260268
2004/4/1,-0.173328946,-0.173328946
2004/5/1,-4.099694333,-4.099694333
2004/6/1,-9.020870385,-9.020870385
2004/7/1,,-7.115197502
2004/8/1,-6.319412283,-6.319412283
2004/9/1,-1.993087391,-1.993087391
2004/10/1,1.604782467,1.604782467
2004/11/1,3.563470372,3.563470372
2004/12/1,5.560112752,5.560112752
2005/1/1,7.94057526,7.94057526
2005/2/1,9.233982654,9.233982654
2005/3/1,6.750251702,6.750251702
2005/4/1,-1.776246712,-1.776246712
2005/5/1,-6.835329693,-6.835329693
2005/6/1,-10.48778078,-10.48778078
2005/7/1,,-9.749093342
2005/8/1,-9.172302954,-9.172302954
2005/9/1,-7.583181439,-7.583181439
2005/10/1,-3.308299825,-3.308299825
2005/11/1,-1.510484359,-1.510484359
2005/12/1,0.22340073,0.22340073
2006/1/1,3.433435857,3.433435857
2006/2/1,5.384084255,5.384084255
2006/3/1,1.040446,1.040446
2006/4/1,-2.710785459,-2.710785459
2006/5/1,,-9.554878827
2006/6/1,-10.8314239,-10.8314239
2006/7/1,-9.480842322,-9.480842322
2006/8/1,-8.019088579,-8.019088579
2006/9/1,-1.461948445,-1.461948445
2006/10/1,1.899552539,1.899552539
2006/11/1,5.20482754,5.20482754
2006/12/1,7.867403423,7.867403423
2007/1/1,9.007618089,9.007618089
2007/2/1,9.614856713,9.614856713
2007/3/1,4.303060105,4.303060105
2007/4/1,-1.082496581,-1.082496581
2007/5/1,,-3.822172714
2007/6/1,-4.567969747,-4.567969747
2007/7/1,-4.864009723,-4.864009723
2007/8/1,,-7.203395788
2007/9/1,-4.700298268,-4.700298268
2007/10/1,0.278136758,0.278136758
2007/11/1,2.573215707,2.573215707
2007/12/1,5.81764689,5.81764689
2008/1/1,9.71311547,9.71311547
2008/2/1,10.98200832,10.98200832
2008/3/1,7.060899699,7.060899699
2008/4/1,-1.013600789,-1.013600789
2008/5/1,-4.360949471,-4.360949471
2008/6/1,-5.257552925,-5.257552925
2008/7/1,-4.274500562,-4.274500562
2008/8/1,,-3.881746546
2008/9/1,,-1.004048276
2008/10/1,2.513454127,2.513454127
2008/11/1,5.707888891,5.707888891
2008/12/1,5.657064217,5.657064217
2009/1/1,8.070382217,8.070382217
2009/2/1,10.15976367,10.15976367
2009/3/1,6.782957606,6.782957606
2009/4/1,0.599848605,0.599848605
2009/5/1,-3.525660825,-3.525660825
2009/6/1,,-6.4402241
2009/7/1,-7.381202152,-7.381202152
2009/8/1,-4.566433906,-4.566433906
2009/9/1,-2.407281883,-2.407281883
2009/10/1,1.508625348,1.508625348
2009/11/1,,5.320894022
2009/12/1,4.466879549,4.466879549
2010/1/1,6.59010965,6.59010965
2010/2/1,9.175469249,9.175469249
2010/3/1,4.501622016,4.501622016
2010/4/1,,-1.711545484
2010/5/1,-8.391928203,-8.391928203
2010/6/1,-13.6392447,-13.6392447
2010/7/1,-12.99869231,-12.99869231
2010/8/1,,-10.92750698
2010/9/1,-5.924731405,-5.924731405
2010/10/1,-2.027711928,-2.027711928
2010/11/1,,3.906017223
2010/12/1,,5.129967974
2011/1/1,6.578273628,6.578273628
2011/2/1,1.831356528,1.831356528
2011/3/1,-9.997799544,-9.997799544
2011/4/1,-12.67696287,-12.67696287
2011/5/1,,-11.81874694
2011/6/1,-9.22008022,-9.22008022
2011/7/1,-7.895497735,-7.895497735
2011/8/1,0.116701556,0.116701556
2011/9/1,1.34196222,1.34196222
2011/10/1,0.718227479,0.718227479
2011/11/1,3.905076956,3.905076956
2011/12/1,4.180506535,4.180506535
2012/1/1,-3.592071374,-3.592071374
2012/2/1,,-7.319788303
2012/3/1,-9.753195824,-9.753195824
2012/4/1,-8.348524872,-8.348524872
2012/5/1,-0.112790461,-0.112790461
2012/6/1,-0.394517353,-0.394517353
2012/7/1,2.94723418,2.94723418
2012/8/1,4.269501605,4.269501605
2012/9/1,8.031817677,8.031817677
2012/10/1,4.675764072,4.675764072
2012/11/1,-2.999190456,-2.999190456
2012/12/1,-9.64979503,-9.64979503
2013/1/1,-9.577779118,-9.577779118
2013/2/1,-4.368257321,-4.368257321
2013/3/1,,-0.793638692
2013/4/1,3.27871225,3.27871225
2013/5/1,3.066216294,3.066216294
2013/6/1,8.703582733,8.703582733
2013/7/1,8.005875755,8.005875755
2013/8/1,4.178245084,4.178245084
2013/9/1,-3.916842487,-3.916842487
2013/10/1,-9.138050802,-9.138050802
2013/11/1,-10.63809297,-10.63809297
2013/12/1,,-11.45337838
2014/1/1,-9.953161226,-9.953161226
2014/2/1,,-7.056937913
2014/3/1,-6.788649969,-6.788649969
2014/4/1,1.765905615,1.765905615
2014/5/1,4.112033804,4.112033804
2014/6/1,5.282152469,5.282152469
2014/7/1,5.570177518,5.570177518
2014/8/1,5.683001097,5.683001097
2014/9/1,-5.364085057,-5.364085057
2014/10/1,-7.637758329,-7.637758329
2014/11/1,-6.923469775,-6.923469775
2014/12/1,-7.835649732,-7.835649732
2015/1/1,-9.061752052,-9.061752052
2015/2/1,-6.286725704,-6.286725704
2015/3/1,2.898071936,2.898071936
2015/4/1,2.882814295,2.882814295
2015/5/1,7.385031541,7.385031541
2015/6/1,7.771793632,7.771793632
2015/7/1,,4.277815965
2015/8/1,1.631061474,1.631061474
2015/9/1,-5.539399887,-5.539399887
2015/10/1,-7.977744609,-7.977744609
2015/11/1,-9.118133571,-9.118133571
2015/12/1,-9.401869856,-9.401869856
2016/1/1,-7.263502443,-7.263502443
2016/2/1,-4.904930668,-4.904930668
2016/3/1,-1.376492261,-1.376492261
