Month,test,real
2014/1/1,6.134891607,6.134891607
2014/2/1,,7.097977458
2014/3/1,5.497983002,5.497983002
2014/4/1,3.457959154,3.457959154
2014/5/1,2.38289506,2.38289506
2014/6/1,0.077709376,0.077709376
2014/7/1,,-1.939747276
2014/8/1,-3.126616067,-3.126616067
2014/9/1,-5.991798386,-5.991798386
2014/10/1,-5.32744958,-5.32744958
2014/11/1,-0.35079447,-0.35079447
2014/12/1,,4.218528707
2015/1/1,6.56361845,6.56361845
2015/2/1,6.398525594,6.398525594
2015/3/1,5.088209993,5.088209993
2015/4/1,2.890820925,2.890820925
2015/5/1,2.254965283,2.254965283
2015/6/1,,-0.292873729
2015/7/1,-4.665797718,-4.665797718
2015/8/1,-7.35654178,-7.35654178
2015/9/1,-7.116910255,-7.116910255
2015/10/1,,-6.751782489
2015/11/1,,-3.121814956
2015/12/1,0.704555252,0.704555252
2016/1/1,3.757538428,3.757538428
2016/2/1,5.976618176,5.976618176
2016/3/1,4.866501963,4.866501963
2016/4/1,,3.384180066
2016/5/1,3.175732588,3.175732588
2016/6/1,4.417875285,4.417875285
2016/7/1,0.265390341,0.265390341
2016/8/1,-4.476129023,-4.476129023
2016/9/1,,-7.949660297
2016/10/1,,-8.155172723
2016/11/1,-4.01869563,-4.01869563
2016/12/1,0.282016168,0.282016168
2017/1/1,0.875158707,0.875158707
2017/2/1,,1.417946713
2017/3/1,1.264972541,1.264972541
2017/4/1,-1.427931281,-1.427931281
2017/5/1,-1.871567116,-1.871567116
2017/6/1,-3.341784364,-3.341784364
2017/7/1,-5.608781397,-5.608781397
2017/8/1,-7.635224943,-7.635224943
2017/9/1,-8.570078499,-8.570078499
2017/10/1,-7.945692551,-7.945692551
2017/11/1,-4.693170898,-4.693170898
2017/12/1,0.844832012,0.844832012
2018/1/1,5.529659325,5.529659325
2018/2/1,5.99470437,5.99470437
2018/3/1,5.41709154,5.41709154
2018/4/1,4.40458937,4.40458937
2018/5/1,2.592373664,2.592373664
2018/6/1,1.880194065,1.880194065
2018/7/1,-3.135815256,-3.135815256
2018/8/1,,-7.40903904
2018/9/1,,-9.53877181
2018/10/1,-10.58511707,-10.58511707
2018/11/1,-5.782481655,-5.782481655
2018/12/1,0.201578622,0.201578622
2019/1/1,2.388500092,2.388500092
2019/2/1,,2.901154303
2019/3/1,,2.542214838
2019/4/1,,0.036657345
2019/5/1,,-0.858591021
2019/6/1,,-2.090151312
2019/7/1,,-6.424257054
2019/8/1,,-9.160305912
2019/9/1,,-10.79066995
2019/10/1,,-8.392311668
2019/11/1,,-1.298739939
2019/12/1,,4.626084025
